0,24,40
0,25,39
1,36,28
1,42,22
1,45,19
1,35,29
1,37,27
0,18,46
1,44,20
1,35,29
0,24,40
0,30,34
1,33,31
0,29,35
1,46,18
0,30,34
0,31,33
0,30,34
0,30,34
1,35,29
1,38,26
0,24,40
0,19,45
1,44,20
0,25,39
0,24,40
0,27,37
0,22,42
0,27,37
0.5,32,32
0,18,46
0,29,35
1,35,29
1,34,30
1,33,31
0,23,41
0,14,49
0.5,32,32
0,27,37
1,42,22
1,45,19
0,31,33
0,11,53
0,18,46
1,42,22
0,27,37
0,18,46
0,21,43
0,28,36
0,20,44
0,30,34
0,29,35
0,21,43
0,23,41
1,37,27
0,26,38
1,46,18
0,31,33
1,44,20
0,22,42
1,35,29
1,36,28
0,31,33
0,24,40
1,36,28
0,21,43
0,28,36
0,25,39
0,24,40
0,22,42
0,10,54
1,36,28
0.5,32,32
1,43,21
0,20,44
0,23,41
0,18,46
0,18,46
0,15,49
0,13,51
0,17,47
0,26,38
1,36,28
1,42,22
0,23,41
1,33,31
1,42,22
1,44,20
0,23,41
1,33,31
1,34,30
1,34,30
1,35,29
0,27,37
0,27,37
1,44,20
0.5,32,32
0,30,34
1,36,28
0,23,41
